,Name,Year,Transmission,Owner_Type,Engine (CC),Power (bhp),Price
0,1200,2010.0,1,0,998.0,58.16,1.75
1,512,2015.0,1,0,1582.0,126.2,12.5
2,486,2011.0,1,0,1199.0,88.7,4.5
3,1059,2012.0,1,0,1248.0,88.76,6.0
4,23,2013.0,0,2,1968.0,140.8,17.74
5,530,2012.0,1,0,814.0,55.2,2.35
6,1378,2013.0,1,0,1461.0,63.1,3.5
7,1778,2016.0,0,0,2755.0,171.5,17.5
8,1847,2013.0,1,0,1598.0,103.6,5.2
9,1582,2012.0,1,2,1248.0,74,1.95
10,1038,2018.0,1,0,1462.0,103.25,9.95
11,422,2012.0,0,0,1497.0,116.3,4.49
12,1160,2015.0,1,0,1248.0,74,5.6
13,813,2014.0,0,0,2179.0,187.7,27.0
14,810,2012.0,0,2,2179.0,115,17.5
15,1369,2014.0,1,0,2477.0,175.56,15.0
16,367,2016.0,1,0,1498.0,98.6,5.4
17,1124,2017.0,1,0,1248.0,74,5.99
18,1445,2014.0,1,0,1461.0,83.8,6.34
19,1319,2014.0,0,0,2143.0,167.62,28.0
20,74,2014.0,0,0,1995.0,190,18.55
21,1099,2015.0,1,2,1248.0,88.5,8.25
22,33,2015.0,0,0,1984.0,177.01,23.5
23,714,2010.0,1,0,1197.0,80,1.87
24,1856,2010.0,0,0,1598.0,103.6,2.85
25,426,2012.0,1,0,1461.0,116.3,4.25
26,1378,2012.0,1,0,1461.0,63.1,4.25
27,960,2013.0,1,2,998.0,67.1,2.75
28,499,2018.0,1,0,2494.0,88.7,9.9
29,1759,2007.0,1,1,2494.0,108.45,4.0
30,1437,2013.0,1,0,1461.0,108.45,7.75
31,1692,2012.0,1,0,1798.0,138.1,6.75
32,901,2013.0,0,2,2696.0,184,12.5
33,25,2010.0,0,0,2698.0,179.5,11.5
34,1844,2014.0,1,2,1598.0,103.5,6.98
35,1199,2009.0,1,2,1061.0,64,1.85
36,1183,2018.0,1,0,1248.0,88.5,8.63
37,849,2017.0,1,0,1198.0,82,4.85
38,1300,2013.0,0,0,2987.0,254.8,28.0
39,1825,2013.0,1,0,1199.0,73.9,5.0
40,970,2008.0,1,2,796.0,46.3,1.25
41,1619,2014.0,1,0,624.0,37.5,1.53
42,847,2017.0,1,0,1198.0,77,5.58
43,762,2014.0,1,0,1197.0,82.9,4.74
44,536,2014.0,0,0,1999.0,149.92,8.85
45,1693,2016.0,0,0,1798.0,138.03,10.11
46,537,2008.0,1,2,1991.0,112.2,4.25
47,1776,2012.0,1,0,2694.0,163.7,10.95
48,668,2014.0,1,0,1120.0,71,3.85
49,908,2012.0,1,2,2498.0,105,5.5
50,8,2015.0,0,0,1968.0,174.33,21.43
51,1147,2014.0,1,0,1248.0,74,4.25
52,1156,2014.0,1,0,1248.0,75,3.3
53,1159,2013.0,1,0,1248.0,74,3.85
54,577,2015.0,1,3,1197.0,82,3.6
55,1845,2015.0,1,0,1598.0,103.2,3.99
56,1459,2017.0,1,0,799.0,53.3,3.3
57,687,2010.0,1,0,1197.0,78.9,2.07
58,1413,2010.0,0,0,1995.0,147.6,7.75
59,1226,2010.0,1,0,998.0,67.1,2.25
